"","CHEMICAL_NAME","STUDY_TITLE","ACCESSION_NUMBER","ORGANIZATION_NAME","STUDY_CONCLUSION","DEPOSITOR_STUDY_NUMBER","DOSE","DOSE_UNIT","START_DATE","TRIAL_RESULT","MICROSOMAL_ACTIVATION_USED","MICROSOMAL_ACTIVATION_SPECIES","PROTOCOL_TYPE","GROUP_NAME","IS_CONTROL_GROUP","STRAIN","TREATMENT_GROUP_TYPE","SUBJECT_NAME","TIME_IN_STUDY","TIME_IN_STUDY_UNIT","BKGRD","COUNT","COUNT_UNIT","COUNT_SEM","COUNT_MEAN","newCount","logDose","RESULT"
"86191","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",500,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","12_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"eColi pKM101","Test Chemical","12_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_A",2,"day",NA,149,"count",NA,NA,149,0.0891380443464869,"0"
"86193","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",500,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","12_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"eColi pKM101","Test Chemical","12_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_C",2,"day",NA,129,"count",NA,NA,129,0.0902981785591961,"0"
"86194","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",500,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","12_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"eColi pKM101","Test Chemical","",2,"day",NA,NA,"",9.1,132,132,0.090111115846571,"0"
"86195","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",500,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","2_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA100","Test Chemical","2_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_A",2,"day",NA,95,"count",NA,NA,95,0.0928635737456592,"0"
"86198","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",500,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","2_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA100","Test Chemical","",2,"day",NA,NA,"",2.1,94,94,0.0929549198473204,"0"
"86199","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",500,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","3_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA98","Test Chemical","3_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_A",2,"day",NA,22,"count",NA,NA,22,0.107461589540203,"0"
"86200","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",500,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","3_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA98","Test Chemical","3_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_B",2,"day",NA,25,"count",NA,NA,25,0.106005374910439,"0"
"86201","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",500,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","3_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA98","Test Chemical","3_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_C",2,"day",NA,22,"count",NA,NA,22,0.107461589540203,"0"
"86202","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",500,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","3_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA98","Test Chemical","",2,"day",NA,NA,"",1,23,23,0.106950701327098,"0"
"86203","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",500,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","4_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"eColi pKM101","Test Chemical","4_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_A",2,"day",NA,174,"count",NA,NA,174,0.0879224191044537,"0"
"86204","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",500,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","4_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"eColi pKM101","Test Chemical","4_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_B",2,"day",NA,156,"count",NA,NA,156,0.0887747513436075,"0"
"86205","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",500,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","4_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"eColi pKM101","Test Chemical","4_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_C",2,"day",NA,161,"count",NA,NA,161,0.0885268145055162,"0"
"86260","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",500,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","4_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"eColi pKM101","Test Chemical","",2,"day",NA,NA,"",5.4,164,164,0.0883823634655133,"0"
"86261","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",5000,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","10_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA100","Test Chemical","10_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_A",2,"day",NA,82,"count",NA,NA,82,0.0773759497942017,"0"
"86262","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",5000,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","10_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA100","Test Chemical","10_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_B",2,"day",NA,87,"count",NA,NA,87,0.077023199320205,"0"
"86263","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",5000,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","10_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA100","Test Chemical","10_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_C",2,"day",NA,72,"count",NA,NA,72,0.0781624977839631,"0"
"86264","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",5000,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","10_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA100","Test Chemical","",2,"day",NA,NA,"",4.4,80,80,0.0775240683919029,"0"
"86269","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",5000,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","12_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"eColi pKM101","Test Chemical","12_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_A",2,"day",NA,61,"count",NA,NA,61,0.0791886830817366,"0"
"86270","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",5000,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","12_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"eColi pKM101","Test Chemical","12_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_B",2,"day",NA,69,"count",NA,NA,69,0.078423378309635,"0"
"86273","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",5000,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","2_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA100","Test Chemical","2_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_A",2,"day",NA,72,"count",NA,NA,72,0.0781624977839631,"0"
"86274","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",5000,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","2_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA100","Test Chemical","2_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_B",2,"day",NA,119,"count",NA,NA,119,0.0752087983256031,"0"
"86275","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",5000,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","2_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA100","Test Chemical","2_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_C",2,"day",NA,86,"count",NA,NA,86,0.0770918458721662,"0"
"86328","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",5000,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","2_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA100","Test Chemical","",2,"day",NA,NA,"",13.9,92,92,0.0766931051639704,"0"
"86329","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",5000,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","3_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA98","Test Chemical","3_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_A",2,"day",NA,21,"count",NA,NA,21,0.0864923539097988,"0"
"86330","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",5000,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","3_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA98","Test Chemical","3_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_B",2,"day",NA,19,"count",NA,NA,19,0.0872476088149636,"0"
"86331","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",5000,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","3_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA98","Test Chemical","3_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_C",2,"day",NA,26,"count",NA,NA,26,0.0849236004359233,"0"
"86332","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",5000,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","3_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA98","Test Chemical","",2,"day",NA,NA,"",2.1,22,22,0.0861457357173956,"0"
"86333","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",5000,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","4_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"eColi pKM101","Test Chemical","4_7_5000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_A",2,"day",NA,105,"count",NA,NA,105,0.0759234942363685,"0"
